solution,cluster
1,1
2,1
3,2
4,3
5,1
6,3
7,2
8,1
9,3
10,1
11,1
12,1
13,3
14,3
15,2
16,2
17,1
18,1
19,1
20,2
21,2
22,1
23,1
24,1
25,3
26,1
27,3
28,2
29,2
30,3
31,1
32,3
33,3
34,1
35,2
36,1
37,1
38,3
39,1
40,1
41,3
42,3
43,1
44,3
45,2
46,3
47,1
48,3
49,1
50,3
51,1
52,3
53,3
54,1
55,2
56,1
57,3
58,3
59,2
60,3
61,3
62,1
63,2
64,1
65,3
66,3
67,2
68,1
69,2
70,2
71,1
72,3
73,3
74,2
75,3
76,2
77,2
78,3
79,3
80,1
81,1
82,2
83,2
84,3
85,3
86,3
87,1
88,2
89,2
90,1
91,1
92,2
93,1
94,1
95,1
96,3
97,3
98,1
99,1
100,1
